id,category,title,body,tags,created_at,updated_at,in_godot
36,suggestion,SKILLS,"COST: Pay 2 mana                                                                                                                                                           
  EFFECT: Deal 1 damage to all minions
                                                                                                                                                                             
  COST: Pay 3 mana                                                                                                                                                           
  EFFECT: Destroy the minion with the lowest attack
                                                                                                                                                                             
  COST: Pay 2 mana                                          
  EFFECT: Give a friendly minion +2/+0 until end of turn                                                                                                                     
                                                                                                                                                                             
  COST: Pay 1 mana
  EFFECT: The next card you play this turn costs 1 less                                                                                                                      
                                                                                                                                                                             
  COST: Pay 4 mana
  EFFECT: Return a minion to its owner's hand                                                                                                                                
                                                            
  COST: Pay 2 mana
  EFFECT: Draw a card, then discard a card
                                                                                                                                                                             
  COST: Pay 3 mana
  EFFECT: Copy the top card of your deck into your hand                                                                                                                      
                                                                                                                                                                             
  COST: Pay 1 mana
  EFFECT: Give a friendly minion +0/+2                                                                                                                                       
                                                            
  COST: Pay 5 mana
  EFFECT: Destroy all minions with 2 or less attack
                                                                                                                                                                             
  COST: Pay 2 mana
  EFFECT: Silence a minion (remove all keywords)                                                                                                                             
                                                                                                                                                                             
  Livskostnader:
                                                                                                                                                                             
  COST: Pay 4 life                                          
  EFFECT: Draw 2 cards                                                                                                                                                       
   
  COST: Pay 2 life                                                                                                                                                           
  EFFECT: Deal 3 damage to any target                       
                                                                                                                                                                             
  COST: Pay 5 life
  EFFECT: Destroy any minion                                                                                                                                                 
                                                            
  COST: Pay 1 life
  EFFECT: Give your hero +2 attack this turn
                                                                                                                                                                             
  COST: Pay 3 life
  EFFECT: Summon a 2/2 token with RAPID                                                                                                                                      
                                                                                                                                                                             
  Kombinerade kostnader:
                                                                                                                                                                             
  COST: Pay 1 mana and 2 life                               
  EFFECT: Deal 4 damage to a minion                                                                                                                                          
   
  COST: Pay 2 mana and discard a card                                                                                                                                        
  EFFECT: Deal 3 damage to all enemy minions                
                                                                                                                                                                             
  COST: Pay 3 life and discard a card                       
  EFFECT: Summon a copy of a friendly minion
                                                                                                                                                                             
  Mer situationella:                                                                                                                                                         
                                                                                                                                                                             
  COST: Pay 2 mana                                                                                                                                                           
  EFFECT: If you have more life than your opponent, draw 2 cards. Otherwise draw 1.
                                                                                                                                                                             
  COST: Pay 3 mana
  EFFECT: Deal damage equal to the number of cards in your hand                                                                                                              
                                                                                                                                                                             
  COST: Pay 1 mana
  EFFECT: Each player draws a card                                                                                                                                           
                                                            
  COST: Pay 2 mana                                                                                                                                                           
  EFFECT: Swap the attack and defense of a minion until end of turn
                                                                                                                                                                             
  COST: Pay 4 mana                                                                                                                                                           
  EFFECT: Look at your opponent's hand",,2026-04-21 09:44:28.224543+00,2026-04-21 09:44:27.713+00,false
37,keyword,Catch/Grab,"Minions som möter catch/grab, blir fasthållen attackfasen ut, och kan ej blocka",,2026-04-22 18:38:58.072534+00,2026-04-22 18:38:57.971+00,false
38,suggestion,MÅSTE FIXAS,"*1 Lägg till en egen kollum Skills med bilder

*2 Ändra Rarity till Basic, Superior , Supreem , Legendary

*3....",,2026-04-23 07:39:39.614363+00,2026-04-23 07:39:39.505+00,false
40,keyword,STUN,"Minionen är bedövad och kan varken attackera eller blockera under sin bedövade tur.
STUN löser sig i slutet av ägarens tur.","combat,restriction",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
41,keyword,SCARE,"Minionen skrämmer fiender vid kontakt — det skrämda målet tvingas till BACK_LINE och kan inte attackera den turen.
SCARE triggar vanligen on_attack eller passivt (first_attacker).","combat,control",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,true
42,keyword,GUARDIAN,"Minionen kan blockera attacker riktade mot din core även från BACK_LINE.
Fiender måste slå igenom GUARDIAN-minionen för att nå din core.","defense,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
43,keyword,STEALTH,"Minionen kan inte väljas som mål av motspelaren tills den attackerar eller påverkar en fiende.
STEALTH bryts när minionen delar ut skada.","evasion,offense",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
44,keyword,CANT_BLOCK,Minionen kan inte användas som blocker. Kan fortfarande attackera och använda aktiverade förmågor.,"combat,restriction",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
45,keyword,CONSUME,"När minionen anfaller eller blocker en fiendeminion äter den upp den och lagrar, vid död så spottas samma minon ut på motståndarens backline MAX 1 minion den minion som ärs måste ha mindre anfallsskada en counsumern","combat,sustain",2026-04-25 18:04:46.775092+00,2026-05-04 10:18:00.375+00,true
46,effect,aoe_damage_wave,"Delar ut skada till flera grupper i en våg.
effect_value = skada till primär grupp (ex attackerare).
effect_arg kan ange extra grupper: friendly_value och core_value.
Ex: Magma Tsunami — 3 till alla attacker, 2 till egna, 1 till core.","damage,aoe",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
47,effect,damage_and_cant_block,"Delar ut X skada till ett mål och förhindrar det från att blockera den aktuella turen.
effect_value = skada. target_mode = any_minion.","damage,control",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
48,effect,on_death_splash,"Fäster ett emblem på en minion. När den minionen dör delar effekten ut X skada till närmaste mål.
effect_value = splash-skada. effect_arg = splash:closest.","damage,deathrattle",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
49,effect,draw_random_spell,"Lägger till ett slumpmässigt spell från ditt deck i handen utan att dra det normalt.
effect_value = antal spells att lägga till.","card-draw,spell",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
50,effect,draw_next_turn,"Spelaren drar X extra kort i sin nästa DRAW-fas.
effect_value = antal extra kort.",card-draw,2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
51,effect,gain_mana,"Ger spelaren X extra mana direkt.
effect_arg kan begränsa till ""this_turn"" eller ""next_turn"".","mana,resource",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
52,effect,pay_life_reduce_cost,"Spelaren förlorar X HP och alla kort kostar 1 mana mindre resten av turen.
effect_value = HP-kostnad. effect_arg = cost_reduction:1,this_turn.","mana,life",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
53,effect,sacrifice_minion_heal,"Offrar en vänlig minion och ger spelaren X HP.
effect_value = HP att återfå. target_mode = friendly_minion.","healing,sacrifice",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
54,effect,buff_stats,"Ger en minion +X attack och +Y HP permanent.
effect_value = attack-buff. effect_arg = +A/+H-format.",buff,2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
55,effect,buff_attack_temporary,"Ger en minion +X attack som varar en begränsad tid.
effect_arg kan ange ""dies_after_turn"" (minionen dör efter turen) eller ""fire"" (skadeflagg).","buff,temporary",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
56,effect,buff_attack_reduce_hp,"Ger en minion +X attack men sätter dess HP till 1.
effect_value = attack-buff. effect_arg = set_hp:1.","buff,risk",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
57,effect,buff_attackers,"Ger alla egna attackerande minions +X attack denna tur.
effect_value = attack-buff. target_mode = all_friendly_attackers.","buff,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
58,effect,buff_tribe_attack,"Ger alla egna minions av en viss subtyp +X attack.
effect_value = attack-buff. effect_arg = subtype:<typ>.","buff,tribal",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
59,effect,debuff_stats,"Ger en minion -X attack och -Y HP som en aura (permanent tills kortet försvinner).
effect_value = attack-debuff. effect_arg = -A/-H,aura.",debuff,2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
60,effect,recurring_debuff,"Ger en minion -X/-X i attack och HP i slutet av varje tur.
effect_value = mängd per tur. effect_arg = per_turn.","debuff,dot",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
61,effect,vanish_and_damage,"Tar bort en minion från fältet (den återkommer nästa tur) och delar ut X skada till ett annat mål.
effect_value = skada. effect_arg anger skademålet.","vanish,damage",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
62,effect,vanish_cleanse,"Tar bort en vänlig minion från fältet tillfälligt. När den återvänder tas alla debuffar och curses bort.
effect_value = antal turer borta.","vanish,cleanse",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
63,effect,vanish_to_lantern,"Tar bort en minion och spawnar en 0/4-struktur på FRONT_LINE i dess ställe.
När strukturen förstörs återkommer minionen.
target_mode = any_minion.","vanish,structure",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
64,effect,skip_turn_vanish,"Spelaren hoppar över sin tur. Alla egna minions vanishar och återkommer nästa tur. Spelaren tar ingen skada under hoppad tur.
effect_arg = immune_damage.","vanish,control",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
65,effect,bounce_attackers,"Skickar tillbaka alla fiendeattackerare till motståndarens hand.
target_mode = all_enemy_attackers.","bounce,control",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
66,effect,spawn_tokens,"Spawnar X tokens med specificerade stats på fältet.
effect_value = antal tokens. effect_arg = attack/hp/namn/flaggor.","spawn,tokens",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
67,effect,resurrect_dead_this_turn,"Alla minions som dog under denna tur återkommer till ägarens BACK_LINE.
target_mode = self (påverkar alla egna döda den turen).","resurrect,necro",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
68,effect,banish_grave_spawn,"Tar bort X slumpmässiga minions från fiendens gravhög permanent och spawnar ett Skeleton per borttagen minion.
effect_value = antal. effect_arg = spawn:<stats/typ>.","grave,spawn",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
69,effect,mass_reanimate_as_spirit,"Tar bort X minions från den egna gravhögen och spawnar en kraftfull Spirit-minion. Ger dessutom +1 attack till alla egna minions.
effect_value = antal från graven. effect_arg = spawn:<stats> och buff.","grave,spawn,buff",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
70,effect,on_death_spawn_spirit,"Fäster en deathrattle på en vänlig minion. När den dör spawnas en Spirit med angivna stats och RAPID.
effect_arg = spawn:<stats/typ>/RAPID.","deathrattle,spawn",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
71,effect,sacrifice_tribe_buff_hp,"Offrar alla egna minions av en viss subtyp och ger en vänlig minion +HP lika med antal offrade (max X).
effect_arg = subtype:<typ>,max:<X>.","sacrifice,buff,tribal",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
72,effect,sacrifice_tribe_draw,"Dödar alla egna minions av en viss subtyp och drar ett kort per dödad.
effect_arg = subtype:<typ>.","sacrifice,card-draw,tribal",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
73,effect,shuffle_tribe_on_death,"Alla minions av en viss subtyp som dör denna tur blandas tillbaka i decket istället för att gå till graven.
effect_arg = subtype:<typ>,this_turn.","grave,shuffle,tribal",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
74,effect,clone_minion,"Kopierar en minion och lägger kopian på ditt fält. Kopians stats sätts till angivet värde.
effect_arg = set_stats:A/H.","copy,spawn",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
75,effect,destroy_structure,"Förstör omedelbart en vald struktur.
target_mode = any_structure.","removal,structure",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
76,effect,transform_minion,"Förvandlar en minion med X eller lägre attack till en ny minion med angivna stats.
effect_arg = max_attack:<X>,into:<A>/<H>/<Namn>.","transform,removal",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
77,effect,force_attack_hero,"Tvingar en fiendeминion att attackera din hero nästa attackfas istället för att välja mål fritt.
target_mode = enemy_minion.","control,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
78,effect,cant_block,"Förhindrar en minion från att blockera under sin nästa blockfas.
effect_value = antal turer. target_mode = enemy_minion.","control,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
79,effect,trap_minion,"Låser en minion i en fälla i X turer. Om minionen dör i fällan spawnas en Spectre för dig.
effect_value = turer. effect_arg = on_death_spawn:<stats/typ>/friendly.","trap,control",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
80,effect,lock_then_release,"Låser en minion i X turer, sedan får den +3/+3 och tvingas attackera din core.
effect_value = låsturer. effect_arg = buff:3/3,force_attack_core.","control,buff",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
81,effect,give_stealth,"Ger en vänlig minion STEALTH i X turer — kan inte väljas som mål av motspelaren.
effect_value = antal turer.","stealth,evasion",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
82,effect,give_spell_absorb,"Ger en vänlig minion SPELL_ABSORB — nästa spell som riktas mot minionen absorberas och nekas.
target_mode = friendly_minion.","protection,magic",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
83,effect,punish_card_play,"Nästa tur tar fienden X skada för varje kort de spelar.
effect_value = skada per kort. effect_arg = per_card,next_turn.","control,damage",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
84,effect,conditional_spawn,"Spawnar en kraftfull minion om ett villkor är uppfyllt (ex spelaren är under X HP).
effect_arg = condition:<typ>:<värde>,spawn:<A>/<H>/<Namn>/<keyword>.","spawn,conditional",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
85,effect,absorb_convert_to_attack,"Absorberar all inkommande skada till en vänlig minion under en tur och ger den lika mycket i attackbuff nästa tur.
target_mode = friendly_minion.","defense,buff",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
86,effect,stasis_minion,"Sätter en skadad minion till 1 HP och gör den omöjlig att attackera tills ägarens nästa tur.
effect_value = HP att sätta. effect_arg = untargetable.","protection,stasis",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
87,effect,survive_lethal,"Om en vänlig minion tar exakt dödlig skada (skada = nuvarande HP) överlever den med 1 HP den turen.
effect_arg = condition:exact_lethal.","protection,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
88,effect,core_trap,"Din core tar max 1 skada per attacker denna tur. Dessutom tar alla attackerande fiender X skada som svar.
effect_value = svarsskada. effect_arg = max_core_damage:1,retaliate_all_attackers.","defense,damage",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
89,ability,on_damage,Förmågan triggar när minionen tar skada (oavsett källa).,"trigger,reactive",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
90,ability,on_kill,Förmågan triggar när minionen dödar en annan minion i strid.,"trigger,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
91,ability,on_core_hit,Förmågan triggar när minionen träffar motståndarens core direkt.,"trigger,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
92,ability,on_deal_damage,Förmågan triggar varje gång minionen delar ut skada (inkl. ability-skada).,"trigger,damage",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
93,ability,on_draw,Förmågan triggar när kortens ägare drar ett kort.,"trigger,card-draw",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
94,ability,on_tribe_death,"Förmågan triggar när en vänlig minion av en specifik subtyp dör.
ability_arg = subtype:<typ>.","trigger,tribal",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
95,ability,on_survive_turn,Förmågan triggar om minionen överlever till slutet av ägarens tur (den var vid liv vid turstarten och levde kvar).,"trigger,endurance",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
96,ability,passive,"Förmågan är alltid aktiv och kräver ingen trigger.
Gäller konstant så länge minionen/strukturen är på fältet.","trigger,passive",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
97,ability,return_to_hand,"Skickar minionen tillbaka till ägarens hand.
Används vanligen med trigger on_damage eller on_attack.
All buffar som applicerats på fältet försvinner.","bounce,defense",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
98,ability,vanish_after_attack,"Minionen försvinner från fältet efter sin attack och återkommer i BACK_LINE i nästa tur.
ability_arg = duration:1_turn.","vanish,evasion",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
99,ability,phantom_damage,"Minionen delar ut X skada som ""phantom"" — skadan beräknas separat och kan penetrera visst försvar.
ability_value = phantomskada.","damage,piercing",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
100,ability,swap_sides,"Om minionen överlever sin attack byter den och målet sida — de kontrolleras nu av respektive motståndare.
ability_arg = condition:self_survives.","control,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
101,ability,consume,"När minionen dödar en fiende äter den upp dem och absorberar stats.
ability_arg styr vilka stats som tas (attack/health/both).","combat,growth",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
102,ability,tribe_buff_attack,"Passiv aura: minionen får +X attack per vänlig minion av viss subtyp på fältet.
ability_arg = subtype:<typ>,max:<X>.","passive,buff,tribal",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
103,ability,give_stealth,"Ger minionen STEALTH under en angiven period (ex denna attack).
ability_trigger = on_attack → aktiv under attackfasen.","stealth,evasion",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
104,ability,reduce_spell_cost,"Passiv aura: spells i ägarens hand kostar X mana mindre.
ability_value = kostnadsreduktion.","passive,mana,spell",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
105,ability,gain_mana,"Ger spelaren X extra mana.
Kan triggas av on_attack, on_core_hit, on_draw, on_tribe_death etc.
ability_arg kan ange ""next_turn"" eller ""extra"".","mana,resource",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
106,ability,heal_on_kill,"Minionen återfår X HP varje gång den dödar en fiende i strid.
ability_value = HP att återfå.","sustain,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
107,ability,aoe_damage,"Delar ut X skada till alla mål i en grupp (ex all_enemy_minions).
ability_trigger anger när effekten utlöses.
ability_target_mode anger gruppen.","damage,aoe",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
108,ability,buff_attack_if_first,"Om minionen är den första att attackera denna tur får den +X attack under turen.
ability_arg = condition:first_attacker,duration:1_turn.","buff,combat,conditional",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
109,ability,dies_after_damage,"Minionen dör omedelbart efter att den delar ut skada (oavsett om den träffas tillbaka).
ability_trigger = on_deal_damage.","sacrifice,aggressive",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
110,ability,spawn_mine,"Spawnar en 0/1-struktur (mina) i FRONT_LINE. Minan attackerar den första angriparen och delar ut X skada.
ability_value = skada. ability_arg = stats/typ/beteende.","spawn,trap,structure",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
111,ability,fear_to_backline,"Tvingar alla fiendeминions att dra sig tillbaka till BACK_LINE och förlora sin attackdeklaration.
ability_trigger = on_attack. ability_target_mode = all_enemy_minions.","control,fear",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
112,ability,block_cost,"Motspelaren måste betala X mana för att blockera den här minionen.
Om motspelaren inte kan eller vill betala kan minionen inte blockas.
ability_value = manakostnad.","evasion,cost",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
113,ability,shock_aura,"Alla fiender som möter minionen i strid tar X skada innan slag löses.
ability_value = preshock-skada.","damage,aura,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
114,ability,grab,"Om minionen delar ut skada till ett mål som överlever kan det målet inte blockera under resten av attackfasen.
ability_trigger = on_deal_damage. ability_arg = condition:target_survives.","control,combat",2026-04-25 18:04:46.775092+00,2026-04-25 18:04:46.775092+00,false
